"Obs","Species","Weight","Length1","Length2","Length3","Height","Width","Sex"
61,"Roach",390,29.5,31.7,35,27.1,15.3,"Unspecified"
62,"Abramis bjrkna",55,13.5,14.7,16.5,41.5,14.1,"Unspecified"
63,"Abramis bjrkna",60,14.3,15.5,17.4,37.8,13.3,"Male"
64,"Abramis bjrkna",90,16.3,17.7,19.8,37.4,13.5,"Male"
65,"Abramis bjrkna",120,17.5,19,21.3,39.4,13.7,"Male"
66,"Abramis bjrkna",150,18.4,20,22.4,39.7,14.7,"Unspecified"
67,"Abramis bjrkna",140,19,20.7,23.2,36.8,14.2,"Unspecified"
68,"Abramis bjrkna",170,19,20.7,23.2,40.5,14.7,"Female"
69,"Abramis bjrkna",145,19.8,21.5,24.1,40.4,13.1,"Female"
70,"Abramis bjrkna",200,21.2,23,25.8,40.1,14.2,"Unspecified"
71,"Abramis bjrkna",273,23,25,28,39.6,14.8,"Female"
72,"Abramis bjrkna",300,24,26,29,39.2,14.6,"Female"
73,"Smelt",6.7,9.3,9.8,10.8,16.1,9.7,"Male"
74,"Smelt",7.5,10,10.5,11.6,17,10,"Female"
75,"Smelt",7,10.1,10.6,11.6,14.9,9.9,"Male"
76,"Smelt",9.7,10.4,11,12,18.3,11.5,"Female"
77,"Smelt",9.8,10.7,11.2,12.4,16.8,10.3,"Male"
78,"Smelt",8.7,10.8,11.3,12.6,15.7,10.2,"Male"
79,"Smelt",10,11.3,11.8,13.1,16.9,9.8,"Male"
80,"Smelt",9.9,11.3,11.8,13.1,16.9,8.9,"Female"
81,"Smelt",9.8,11.4,12,13.2,16.7,8.7,"Female"
82,"Smelt",12.2,11.5,12.2,13.4,15.6,10.4,"Female"
83,"Smelt",13.4,11.7,12.4,13.5,18,9.4,"Female"
84,"Smelt",12.2,12.1,13,13.8,16.5,9.1,"Female"
85,"Smelt",19.7,13.2,14.3,15.2,18.9,13.6,"Female"
86,"Smelt",19.9,13.8,15,16.2,18.1,11.6,"Female"
87,"Pike",200,30,32.3,34.8,16,9.7,"Unspecified"
88,"Pike",300,31.7,34,37.8,15.1,11,"Female"
89,"Pike",300,32.7,35,38.8,15.3,11.3,"Unspecified"
90,"Pike",300,34.8,37.3,39.8,15.8,10.1,"Unspecified"
91,"Pike",430,35.5,38,40.5,18,11.3,"Unspecified"
92,"Pike",345,36,38.5,41,15.6,9.7,"Male"
93,"Pike",456,40,42.5,45.5,16,9.5,"Unspecified"
94,"Pike",510,40,42.5,45.5,15,9.8,"Unspecified"
95,"Pike",540,40.1,43,45.8,17,11.2,"Unspecified"
96,"Pike",500,42,45,48,14.5,10.2,"Unspecified"
97,"Pike",567,43.2,46,48.7,16,10,"Female"
98,"Pike",770,44.8,48,51.2,15,10.5,"Female"
99,"Pike",950,48.3,51.7,55.1,16.2,11.2,"Unspecified"
100,"Pike",1250,52,56,59.7,17.9,11.7,"Unspecified"
101,"Pike",1600,56,60,64,15,9.6,"Unspecified"
102,"Pike",1550,56,60,64,15,9.6,"Female"
103,"Pike",1650,59,63.4,68,15.9,11,"Female"
104,"Perch",5.9,7.5,8.4,8.8,24,16,"Unspecified"
105,"Perch",32,12.5,13.7,14.7,24,13.6,"Unspecified"
106,"Perch",40,13.8,15,16,23.9,15.2,"Unspecified"
107,"Perch",51.5,15,16.2,17.2,26.7,15.3,"Unspecified"
108,"Perch",70,15.7,17.4,18.5,24.8,15.9,"Unspecified"
109,"Perch",100,16.2,18,19.2,27.2,17.3,"Unspecified"
110,"Perch",78,16.8,18.7,19.4,26.8,16.1,"Unspecified"
111,"Perch",80,17.2,19,20.2,27.9,15.1,"Unspecified"
112,"Perch",85,17.8,19.6,20.8,24.7,14.6,"Unspecified"
113,"Perch",85,18.2,20,21,24.2,13.2,"Unspecified"
114,"Perch",110,19,21,22.5,25.3,15.8,"Unspecified"
115,"Perch",115,19,21,22.5,26.3,14.7,"Unspecified"
116,"Perch",125,19,21,22.5,25.3,16.3,"Male"
117,"Perch",130,19.3,21.3,22.8,28,15.5,"Female"
118,"Perch",120,20,22,23.5,26,14.5,"Female"
119,"Perch",120,20,22,23.5,24,15,"Unspecified"
120,"Perch",130,20,22,23.5,26,15,"Unspecified"
121,"Perch",135,20,22,23.5,25,15,"Unspecified"
122,"Perch",110,20,22,23.5,23.5,17,"Female"
123,"Perch",130,20.5,22.5,24,24.4,15.1,"Female"
124,"Perch",150,20.5,22.5,24,28.3,15.1,"Female"
125,"Perch",145,20.7,22.7,24.2,24.6,15,"Unspecified"
126,"Perch",150,21,23,24.5,21.3,14.8,"Unspecified"
127,"Perch",170,21.5,23.5,25,25.1,14.9,"Unspecified"
128,"Perch",225,22,24,25.5,28.6,14.6,"Unspecified"
129,"Perch",145,22,24,25.5,25,15,"Unspecified"
130,"Perch",188,22.6,24.6,26.2,25.7,15.9,"Unspecified"
131,"Perch",180,23,25,26.5,24.3,13.9,"Female"
132,"Perch",197,23.5,25.6,27,24.3,15.7,"Unspecified"
133,"Perch",218,25,26.5,28,25.6,14.8,"Unspecified"
134,"Perch",300,25.2,27.3,28.7,29,17.9,"Female"
135,"Perch",260,25.4,27.5,28.9,24.8,15,"Female"
136,"Perch",265,25.4,27.5,28.9,24.4,15,"Unspecified"
137,"Perch",250,25.4,27.5,28.9,25.2,15.8,"Female"
138,"Perch",250,25.9,28,29.4,26.6,14.3,"Unspecified"
139,"Perch",300,26.9,28.7,30.1,25.2,15.4,"Female"
140,"Perch",320,27.8,30,31.6,24.1,15.1,"Female"
141,"Perch",514,30.5,32.8,34,29.5,17.7,"Unspecified"
142,"Perch",556,32,34.5,36.5,28.1,17.5,"Unspecified"
143,"Perch",840,32.5,35,37.3,30.8,20.9,"Female"
144,"Perch",685,34,36.5,39,27.9,17.6,"Female"
145,"Perch",700,34,36,38.3,27.7,17.6,"Female"
146,"Perch",700,34.5,37,39.4,27.5,15.9,"Female"
147,"Perch",690,34.6,37,39.3,26.9,16.2,"Female"
148,"Perch",900,36.5,39,41.4,26.9,18.1,"Female"
149,"Perch",650,36.5,39,41.4,26.9,14.5,"Unspecified"
150,"Perch",820,36.6,39,41.3,30.1,17.8,"Unspecified"
151,"Perch",850,36.9,40,42.3,28.2,16.8,"Female"
152,"Perch",900,37,40,42.5,27.6,17,"Female"
153,"Perch",1015,37,40,42.4,29.2,17.6,"Female"
154,"Perch",820,37.1,40,42.5,26.2,15.6,"Female"
155,"Perch",1100,39,42,44.6,28.7,15.4,"Female"
156,"Perch",1000,39.8,43,45.2,26.4,16.1,"Female"
157,"Perch",1100,40.1,43,45.5,27.5,16.3,"Female"
158,"Perch",1000,40.2,43.5,46,27.4,17.7,"Male"
159,"Perch",1000,41.1,44,46.6,26.8,16.3,"Female"
